,braid,free_part,torsion_part,total_num_FP,total_num_TP
0,"[-2, 2, -3, 3, -2, -2, 1, -3, -3]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0
1,"[3, -1, -2, 2, -2, -2, -3, 3, -1]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0
2,"[1, -3, 2, 3, 2, 2, 1, 2, -1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
3,"[-1, -1, 1, -1, 3, -2, -1, 3, -2]","{(-11, -4): 1, (-9, -3): 1, (-7, -3): 1, (-7, -2): 1, (-5, -2): 1, (-5, -1): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 2, (-1, 1): 1, (3, 2): 1}","{(-9, -3): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}, (-3, 0): {2: 1}, (1, 2): {2: 1}}",12,5
4,"[1, -3, -2, 3, 1, 1, 2, -1, -3]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0
5,"[2, -3, 1, 1, -3, 2, -3, -1, 1]","{(-7, -3): 1, (-5, -2): 1, (-3, -2): 1, (-3, -1): 1, (-1, -1): 1, (-1, 0): 3, (1, 0): 3, (1, 1): 1, (3, 1): 1, (3, 2): 2, (5, 2): 3, (5, 3): 1, (9, 4): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (7, 4): {2: 1}}",20,6
6,"[-2, 1, -1, 3, -3, 2, 1, 2, 2]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0
7,"[3, -1, 3, 3, -2, 2, -1, -2, 2]","{(-5, -2): 1, (-3, -2): 2, (-1, -2): 1, (-1, 0): 2, (1, 0): 3, (3, 0): 1, (3, 1): 1, (3, 2): 1, (5, 1): 1, (5, 2): 1, (7, 3): 1, (9, 3): 1}","{(1, 1): {2: 1}, (3, 1): {2: 1}, (5, 3): {2: 1}, (7, 3): {2: 1}}",16,4
8,"[-2, -1, 1, 1, 2, 1, 1, -3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
9,"[3, 2, -1, 2, -3, -1, -3, 2, 3]","{(-5, -2): 2, (-3, -2): 1, (-3, -1): 1, (-1, -1): 1, (-1, 0): 3, (1, 0): 3, (1, 1): 2, (3, 1): 1, (3, 2): 2, (5, 2): 3, (5, 3): 1, (7, 3): 1, (7, 4): 1, (9, 4): 1, (11, 5): 1}","{(-3, -1): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 2}, (5, 3): {2: 1}, (7, 4): {2: 1}, (9, 5): {2: 1}}",24,8
10,"[-2, 3, 2, -2, 2, 3, -2, -3, -3]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0
11,"[-1, 3, -3, -3, 3, 2, -1, -3, 2]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2
12,"[2, -1, 1, -3, -2, -1, 1, -2, 2]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0
13,"[3, 1, 1, -1, 3, 1, 2, -2, -3]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
14,"[3, 1, -1, 1, 2, 3, 2, 2, 2]","{(3, 0): 1, (5, 0): 1, (7, 2): 1, (11, 3): 1, (11, 4): 1, (15, 5): 1}","{(9, 3): {2: 1}, (13, 5): {2: 1}}",6,2
15,"[-1, 2, 2, 1, 3, 3, -1, -2, -1]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0
16,"[3, -3, -2, 2, -3, -2, 1, -3, 3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
17,"[1, 3, -3, 3, 3, -1, -1, -3, 3]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
18,"[-2, -2, 1, 2, 1, 2, 3, -2, 3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
19,"[3, 2, -1, 3, 1, -1, 2, -2, 2]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
20,"[-1, -1, 1, -3, 3, 3, -3, -1, 2]","{(-6, -2): 1, (-4, -2): 1, (-2, 0): 1, (0, 0): 1}",{},4,0
21,"[3, -1, 1, 2, -3, 2, -1, 1, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
22,"[-1, -1, 3, -1, 3, -1, -2, 2, 3]","{(-11, -4): 1, (-9, -4): 2, (-9, -3): 1, (-7, -4): 1, (-7, -3): 1, (-7, -2): 1, (-5, -2): 2, (-5, -1): 1, (-3, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, -1): 1, (-1, 0): 4, (1, 0): 1, (1, 2): 1, (3, 1): 1, (3, 2): 1, (5, 3): 1, (7, 3): 1}","{(-7, -2): {2: 1}, (-5, -2): {2: 1}, (-5, -1): {2: 1}, (-3, -1): {2: 1}, (-3, 0): {2: 2}, (-1, 0): {2: 1}, (-1, 1): {2: 1}, (1, 1): {2: 2}, (3, 3): {2: 1}, (5, 3): {2: 1}}",24,12
23,"[-1, -3, -1, -1, 2, 3, 3, 1, -3]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
24,"[3, 1, 1, -2, -1, -2, -3, -2, 1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
