,Unnamed: 0,braid,khovanov_homology,free_part,torsion_part,free_part_count,torsion_part_count,total_num_FP_per_row,total_num_FP_per_column
3,3,"[-1, -1, -2, 2, -1, 2, -2, -1, -1]","{-15: {-5: Z}, -13: {-5: 0, -4: C2}, -11: {-5: 0, -4: Z, -3: Z}, -9: {-5: 0, -4: 0, -3: 0, -2: C2}, -7: {-5: 0, -4: 0, -3: 0, -2: Z, -1: 0, 0: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: Z}, -3: {0: Z}}","{(-15, -5): 1, (-11, -4): 1, (-11, -3): 1, (-7, -2): 1, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",6,2,"{-15: 1, -11: 2, -7: 1, -5: 1, -3: 1}","{-5: 1, -4: 1, -3: 1, -2: 1, 0: 2}"
7,7,"[1, 1, 3, 3, 2, 3, 3, -3, 1]","{3: {0: Z}, 5: {0: Z, 1: 0, 2: 0, 3: 0}, 7: {0: 0, 1: 0, 2: Z x Z, 3: 0, 4: 0, 5: 0, 6: 0}, 9: {0: 0, 1: 0, 2: 0, 3: C2 x C2, 4: 0, 5: 0, 6: 0, 7: 0}, 11: {0: 0, 1: 0, 2: 0, 3: Z x Z, 4: Z, 5: 0, 6: 0, 7: 0}, 13: {2: 0, 3: 0, 4: 0, 5: Z x C2, 6: 0, 7: 0}, 15: {3: 0, 4: 0, 5: Z, 6: C2, 7: 0}, 17: {5: 0, 6: Z, 7: 0}, 19: {6: 0, 7: 0}}","{(3, 0): 1, (5, 0): 1, (7, 2): 2, (11, 3): 2, (11, 4): 1, (13, 5): 1, (15, 5): 1, (17, 6): 1}","{(9, 3): {2: 2}, (13, 5): {2: 1}, (15, 6): {2: 1}}",10,4,"{3: 1, 5: 1, 7: 2, 11: 3, 13: 1, 15: 1, 17: 1}","{0: 2, 2: 2, 3: 2, 4: 1, 5: 2, 6: 1}"
8,8,"[-3, -1, -1, 1, -2, 1, -3, -1, -3]","{-15: {-6: 0, -5: 0, -4: 0}, -13: {-6: 0, -5: 0, -4: 0, -3: 0}, -11: {-6: 0, -5: 0, -4: 0, -3: 0, -2: 0, -1: 0}, -9: {-6: 0, -5: 0, -4: 0, -3: Z, -2: 0, -1: 0, 0: 0}, -7: {-6: 0, -5: 0, -4: 0, -3: 0, -2: C2, -1: 0, 0: 0, 1: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: Z, -1: 0, 0: 0, 1: 0}, -3: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0}, -1: {-1: 0, 0: Z, 1: 0}}","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
10,10,"[-3, -3, 1, 2, 2, 2, -3, 3, -3]","{-7: {-3: Z}, -5: {-3: 0, -2: C2, -1: 0, 0: 0}, -3: {-3: 0, -2: Z, -1: Z, 0: 0, 1: 0}, -1: {-3: 0, -2: 0, -1: 0, 0: Z x Z x C2, 1: 0, 2: 0, 3: 0}, 1: {-3: 0, -2: 0, -1: 0, 0: Z x Z, 1: C2, 2: 0, 3: 0, 4: 0}, 3: {-3: 0, -2: 0, -1: 0, 0: 0, 1: Z, 2: Z, 3: 0, 4: 0}, 5: {-1: 0, 0: 0, 1: 0, 2: 0, 3: C2, 4: 0}, 7: {0: 0, 1: 0, 2: 0, 3: Z, 4: 0}, 9: {3: 0, 4: 0}}","{(-7, -3): 1, (-3, -2): 1, (-3, -1): 1, (-1, 0): 2, (1, 0): 2, (3, 1): 1, (3, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (5, 3): {2: 1}}",10,4,"{-7: 1, -3: 2, -1: 2, 1: 2, 3: 2, 7: 1}","{-3: 1, -2: 1, -1: 1, 0: 4, 1: 1, 2: 1, 3: 1}"
14,14,"[-1, -3, 2, 3, -1, -1, 1, -2, -1]","{-11: {-5: 0, -4: 0, -3: 0}, -9: {-5: 0, -4: 0, -3: Z, -2: 0}, -7: {-5: 0, -4: 0, -3: 0, -2: C2, -1: 0, 0: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: Z, -1: 0, 0: 0, 1: 0}, -3: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, -1: {-3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, 1: {0: 0, 1: 0, 2: 0}}","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
15,15,"[1, -2, 3, 3, -1, 1, 2, 2, 3]","{1: {-1: 0, 0: Z, 1: 0}, 3: {-1: 0, 0: Z, 1: Z, 2: 0, 3: 0}, 5: {-1: 0, 0: 0, 1: 0, 2: Z x C2, 3: 0, 4: 0, 5: 0}, 7: {-1: 0, 0: 0, 1: 0, 2: Z, 3: C2, 4: 0, 5: 0, 6: 0}, 9: {0: 0, 1: 0, 2: 0, 3: Z, 4: Z, 5: 0, 6: 0}, 11: {1: 0, 2: 0, 3: 0, 4: 0, 5: C2, 6: 0}, 13: {3: 0, 4: 0, 5: Z, 6: 0}, 15: {5: 0, 6: 0}}","{(1, 0): 1, (3, 0): 1, (3, 1): 1, (5, 2): 1, (7, 2): 1, (9, 3): 1, (9, 4): 1, (13, 5): 1}","{(5, 2): {2: 1}, (7, 3): {2: 1}, (11, 5): {2: 1}}",8,3,"{1: 1, 3: 2, 5: 1, 7: 1, 9: 2, 13: 1}","{0: 2, 1: 1, 2: 2, 3: 1, 4: 1, 5: 1}"
16,16,"[3, 1, 3, 1, 2, 3, 2, 3, -1]","{3: {-1: 0, 0: Z, 1: 0}, 5: {-1: 0, 0: Z, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}, 7: {-1: 0, 0: 0, 1: 0, 2: Z, 3: 0, 4: 0, 5: 0, 6: 0}, 9: {-1: 0, 0: 0, 1: 0, 2: 0, 3: C2, 4: 0, 5: 0, 6: 0, 7: 0}, 11: {0: 0, 1: 0, 2: 0, 3: Z, 4: Z, 5: 0, 6: 0, 7: 0, 8: 0}, 13: {1: 0, 2: 0, 3: 0, 4: 0, 5: C2, 6: 0, 7: 0, 8: 0}, 15: {3: 0, 4: 0, 5: Z, 6: 0, 7: 0, 8: 0}, 17: {4: 0, 5: 0, 6: 0, 7: 0, 8: 0}, 19: {5: 0, 6: 0, 7: 0, 8: 0}}","{(3, 0): 1, (5, 0): 1, (7, 2): 1, (11, 3): 1, (11, 4): 1, (15, 5): 1}","{(9, 3): {2: 1}, (13, 5): {2: 1}}",6,2,"{3: 1, 5: 1, 7: 1, 11: 2, 15: 1}","{0: 2, 2: 1, 3: 1, 4: 1, 5: 1}"
17,17,"[1, -1, -1, 2, 2, 2, -3, 1, 2]","{-1: {-2: 0, -1: 0, 0: 0}, 1: {-2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0, 4: 0}, 3: {-2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}, 5: {-1: 0, 0: 0, 1: 0, 2: Z, 3: 0, 4: 0, 5: 0}, 7: {0: 0, 1: 0, 2: 0, 3: C2, 4: 0, 5: 0}, 9: {2: 0, 3: Z, 4: 0, 5: 0}, 11: {3: 0, 4: 0, 5: 0}, 13: {4: 0, 5: 0}}","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
18,18,"[-3, 3, 2, 1, 2, 3, -1, 2, 2]","{1: {-1: 0, 0: Z}, 3: {-1: 0, 0: Z, 1: 0, 2: 0, 3: 0, 4: 0}, 5: {-1: 0, 0: 0, 1: 0, 2: Z, 3: 0, 4: 0, 5: 0}, 7: {-1: 0, 0: 0, 1: 0, 2: 0, 3: C2, 4: 0, 5: 0, 6: 0}, 9: {0: 0, 1: 0, 2: 0, 3: Z, 4: 0, 5: 0, 6: 0}, 11: {2: 0, 3: 0, 4: 0, 5: 0, 6: 0}, 13: {3: 0, 4: 0, 5: 0, 6: 0}, 15: {4: 0, 5: 0, 6: 0}}","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
19,19,"[1, 3, 1, 1, 1, -1, -3, -2, 3]","{-1: {-2: 0, -1: 0, 0: 0, 1: 0}, 1: {-2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0, 4: 0}, 3: {-2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}, 5: {-1: 0, 0: 0, 1: 0, 2: Z, 3: 0, 4: 0, 5: 0}, 7: {0: 0, 1: 0, 2: 0, 3: C2, 4: 0, 5: 0}, 9: {1: 0, 2: 0, 3: Z, 4: 0, 5: 0}, 11: {3: 0, 4: 0, 5: 0}, 13: {4: 0, 5: 0}}","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
